Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_7c4384b5	you	{i}Ahh it’s my final year of highschool. Why did Dad have to move us for work again? Now I have to make friends all over again.{i}	game/script.rpy	56	you "[what]"
start_b29a00c5	you	{i} But hey! At least I have Alex. Hopefully he’ll help introduce me to some of his friends...{i}	game/script.rpy	57	you "[what]"
start_457a4028		([you] walks into the Moscrop building and calls Alex B.)	game/script.rpy	62	"[what]"
start_3977bcb0		*Ringggg*	game/script.rpy	63	"[what]"
start_426ab00a	bai	Hey [you]. You just got to school?	game/script.rpy	66	bai "[what]"
start_4f156552	you	I’m at the office right now. They’re telling me to go to the counselor's office to have someone show me around the school.	game/script.rpy	67	you "[what]"
start_feb46d78	bai	Okay, stay right there. I’ll come to you and bring you to the counselor's office.	game/script.rpy	68	bai "[what]"
start_4183136a		(Alex B is my childhood friend from elementary school. When I moved away in 7th grade due to my Dad’s job, we kept in contact over social media for a while.)	game/script.rpy	69	"[what]"
start_cd38404b		(Sadly, our messages decreased over the years to nothing more than holiday and birthday greetings.)	game/script.rpy	70	"[what]"
start_50f26ca6		(When I found out that I’d be moving to Moscrop this year, I immediately contacted Alex B. After all, I didn’t want to end my last year of highschool with no friends.)	game/script.rpy	71	"[what]"
start_2b1ca455	bai	Ah... it’s been so long since I’ve seen you, maybe 5 years? Wow you’ve changed a lot player. Class is starting soon, follow me, follow me.	game/script.rpy	74	bai "[what]"
start_9a588fb5	you	{i}He's being so awkward and avoiding eye contact. I guess it’ll become that way after so long.{i}	game/script.rpy	75	you "[what]"
start_6512c15e	bai	Here’s the counselor's office, you can talk to Counsellor A and she’ll have someone show you around the school.	game/script.rpy	79	bai "[what]"
start_da21b5d3	ca	Welcome to moscrop player. I’m Counsellor A, the head counselor. Your counselor in the future might not be me if your last name doesn't start between the letters H-L.	game/script.rpy	82	ca "[what]"
start_ececd627	ca	Here's your class timetable and the school schedule. We know it’s difficult that you’re transferring to a new school in grade 12, but everyone here is lovely and I promise you’ll have a great final year.	game/script.rpy	83	ca "[what]"
start_9fa40c46		(I walk out of the office and I see Alex B talking to a slender guy with a black bomber jacket.)	game/script.rpy	88	"[what]"
start_1f769aac		(Contrasting to his outfit, he wore a pair of thin metal glasses that accentuated his profound, phoenix eyes. However, his thinly pressed lips gave the air around him a sharp chill.)	game/script.rpy	89	"[what]"
start_52468d80	ca	Alex H come here.	game/script.rpy	92	ca "[what]"
start_c6558444	ca	This is Alex Hong. He’s the student council president and he’ll be tasked with showing you around the school.	game/script.rpy	95	ca "[what]"
start_999115a7	hong	I’m Alex. Alex B told me that you guys are childhood friends. It’s nice to meet you. I’ll show you around the school. Give me your timetable, I’ll tell you where each of your classes are.	game/script.rpy	98	hong "[what]"
start_2309b95f	hong	You probably won’t come here often outside of class, but here's the weight training room.	game/script.rpy	102	hong "[what]"
start_ec53b344		(Right as we’re about to leave, someone places an arm around Alex’s shoulder.)	game/script.rpy	103	"[what]"
start_7481f531	lucas	Alex. Who’s that next to you?	game/script.rpy	106	lucas "[what]"
start_d83594b3		(I turn around to see a well built guy with curly, unkempt hair.)	game/script.rpy	107	"[what]"
start_3edb4ce8		(The t-shirt clinging onto his dewy skin made it easy to tell that he just finished working out. The necklace around his neck and the numerous rings on his fingers gave him a rebellious air of disobedience.)	game/script.rpy	109	"[what]"
start_7323e79a	hong	Lucas! I’m showing the new student around the school. You finished working out?	game/script.rpy	110	hong "[what]"
start_d59e6897	lucas	Yeah, I’m sweaty right now. I’ll go get changed and find you later.	game/script.rpy	111	lucas "[what]"
start_1b8808da	hong	Mm, ok. I’ll see you later. Let’s go [you].	game/script.rpy	112	hong "[what]"
start_4fa9f944		(He taps Lucas’s shoulder lightly and left, leaving me to chase after him.)	game/script.rpy	114	"[what]"
start_15d49719	hong	That’s everything in Moscrop. Class is going to start soon, I’ll bring you to your block 1 class.	game/script.rpy	117	hong "[what]"
